Sample,Larvae,Treatment ,Time_of_injection,Time_of_treatment,Time_of_sampling,Activity,Melanization,Coccoon,Survival 
G0,L1,PBS-PBS,11:01,11:01,11:05,3,4,0,2
G0,L2,PBS-PBS,11:02,11:02,11:05,3,4,0,2
G0,L3,PBS-PBS,11:02,11:02,11:05,3,4,0,2
G0,L4,PBS-PBS,11:03,11:03,11:05,3,4,0,2
G0,L5,PBS-PBS,11:03,11:03,11:05,3,4,0,2
G0,L6,PBS-PBS,11:04,11:04,11:05,3,4,0,2
G0,L7,PBS-PBS,11:04,11:04,11:05,3,4,0,2
G0,L8,PBS-PBS,11:05,11:05,11:05,2,4,0,2
G0,L9,PBS-PBS,11:05,11:05,11:05,3,4,0,2
G0,L10,PBS-PBS,11:05,11:05,11:05,2,4,0,2
G0,L11,PBS-PBS,11:06,11:06,11:05,3,4,0,2
G0,L12,PBS-PBS,11:06,11:06,11:05,3,4,0,2
G0,L13,PBS-PBS,11:07,11:07,11:05,3,4,0,2
G0,L14,PBS-PBS,11:07,11:07,11:05,3,4,0,2
G0,L15,PBS-PBS,11:07,11:07,11:05,2,4,0,2
G0,L16,PBS-PBS,11:08,11:08,11:05,3,4,0,2
G0,L17,PBS-PBS,11:08,11:08,11:05,3,4,0,2
G0,L18,PBS-PBS,11:09,11:09,11:05,3,4,0,2
G0,L19,PBS-PBS,11:09,11:09,11:05,2,4,0,2
G0,L20,PBS-PBS,11:09,11:10,11:05,3,4,0,2
G1,L1,PBS-CIP,10:43,10:53,10:30,2,4,0,2
G1,L2,PBS-CIP,10:44,10:53,10:30,3,4,0,2
G1,L3,PBS-CIP,10:45,10:54,10:30,3,4,0,2
G1,L4,PBS-CIP,10:46,10:54,10:30,3,4,0,2
G1,L5,PBS-CIP,10:46,10:54,10:30,3,4,0,2
G1,L6,PBS-CIP,10:46,10:54,10:30,3,4,0,2
G1,L7,PBS-CIP,10:46,10:55,10:30,3,4,0,2
G1,L8,PBS-CIP,10:46,10:55,10:30,3,4,0,2
G1,L9,PBS-CIP,10:47,10:55,10:30,3,4,0,2
G1,L10,PBS-CIP,10:48,10:55,10:30,2,4,0,2
G1,L11,PBS-CIP,10:48,10:55,10:30,3,4,0,2
G1,L12,PBS-CIP,10:48,10:56,10:30,3,4,0,2
G1,L13,PBS-CIP,10:49,10:56,10:30,3,4,0,2
G1,L14,PBS-CIP,10:49,10:56,10:30,3,4,0,2
G1,L15,PBS-CIP,10:49,10:56,10:30,3,4,0,2
G1,L16,PBS-CIP,10:49,10:57,10:30,3,4,0,2
G1,L17,PBS-CIP,10:50,10:57,10:30,3,4,0,2
G1,L18,PBS-CIP,10:50,10:57,10:30,3,4,0,2
G1,L19,PBS-CIP,10:50,10:57,10:30,3,4,0,2
G1,L20,PBS-CIP,10:51,10:57,10:30,3,4,0,2
G2,L1,PAO1-PBS,10:24,10:34,10:22,0,0,0,0
G2,L2,PAO1-PBS,10:25,10:35,10:22,0,1,0,0
G2,L3,PAO1-PBS,10:25,10:35,10:22,1,4,0,2
G2,L4,PAO1-PBS,10:26,10:35,10:22,0,0,0,0
G2,L5,PAO1-PBS,10:26,10:35,10:22,0,1,0,0
G2,L6,PAO1-PBS,10:27,10:36,10:22,0,2,0,0
G2,L7,PAO1-PBS,10:27,10:36,10:22,0,0,0,0
G2,L8,PAO1-PBS,10:27,10:36,10:22,3,4,0,2
G2,L9,PAO1-PBS,10:28,10:36,10:22,2,4,0,2
G2,L10,PAO1-PBS,10:28,10:36,10:22,3,4,0,2
G2,L11,PAO1-PBS,10:29,10:37,10:22,0,0,0,0
G2,L12,PAO1-PBS,10:29,10:37,10:22,0,1,0,0
G2,L13,PAO1-PBS,10:30,10:37,10:22,0,0,0,0
G2,L14,PAO1-PBS,10:30,10:38,10:22,3,4,0,2
G2,L15,PAO1-PBS,10:30,10:38,10:22,0,0,0,0
G2,L16,PAO1-PBS,10:31,10:38,10:22,0,0,0,0
G2,L17,PAO1-PBS,10:31,10:38,10:22,2,3,0,2
G2,L18,PAO1-PBS,10:32,10:38,10:22,0,0,0,0
G2,L19,PAO1-PBS,10:32,10:38,10:22,0,3,0,0
G2,L20,PAO1-PBS,10:32,10:39,10:22,0,0,0,0
G3,L1,PAO1-00hCIP,9:56,10:06,10:12,3,3,0,2
G3,L2,PAO1-00hCIP,9:57,10:07,10:12,3,4,0,2
G3,L3,PAO1-00hCIP,9:57,10:08,10:12,0,1,0,0
G3,L4,PAO1-00hCIP,9:58,10:08,10:12,3,4,0,2
G3,L5,PAO1-00hCIP,9:58,10:08,10:12,0,1,0,0
G3,L6,PAO1-00hCIP,9:58,10:08,10:12,3,3,0,2
G3,L7,PAO1-00hCIP,9:59,10:08,10:12,2,4,0,2
G3,L8,PAO1-00hCIP,9:59,10:09,10:12,0,1,0,0
G3,L9,PAO1-00hCIP,9:59,10:09,10:12,1,4,0,2
G3,L10,PAO1-00hCIP,10:00,10:09,10:12,0,3,0,0
G3,L11,PAO1-00hCIP,10:01,10:10,10:12,0,1,0,0
G3,L12,PAO1-00hCIP,10:01,10:10,10:12,3,4,0,2
G3,L13,PAO1-00hCIP,10:02,10:11,10:12,0,3,0,0
G3,L14,PAO1-00hCIP,10:02,10:11,10:12,3,4,0,2
G3,L15,PAO1-00hCIP,10:02,10:12,10:12,3,4,0,2
G3,L16,PAO1-00hCIP,10:03,10:12,10:12,3,4,0,2
G3,L17,PAO1-00hCIP,10:03,10:12,10:12,1,4,0,2
G3,L18,PAO1-00hCIP,10:04,10:13,10:12,3,4,0,2
G3,L19,PAO1-00hCIP,10:04,10:13,10:12,3,4,0,2
G3,L20,PAO1-00hCIP,10:04,10:14,10:12,0,0,0,0
G4,L1,PAO1-03hCIP,9:43,12:43,10:00,0,3,0,0
G4,L2,PAO1-03hCIP,9:44,12:43,10:00,3,4,0,2
G4,L3,PAO1-03hCIP,9:44,12:43,10:00,3,4,0,2
G4,L4,PAO1-03hCIP,9:45,12:44,10:00,3,4,0,2
G4,L5,PAO1-03hCIP,9:45,12:44,10:00,0,3,0,0
G4,L6,PAO1-03hCIP,9:46,12:45,10:00,3,4,0,2
G4,L7,PAO1-03hCIP,9:46,12:45,10:00,0,0,0,0
G4,L8,PAO1-03hCIP,9:48,12:46,10:00,0,0,0,0
G4,L9,PAO1-03hCIP,9:48,12:46,10:00,3,4,0,2
G4,L10,PAO1-03hCIP,9:49,12:46,10:00,1,4,0,2
G4,L11,PAO1-03hCIP,9:49,12:47,10:00,3,4,0,2
G4,L12,PAO1-03hCIP,9:50,12:48,10:00,2,4,0,2
G4,L13,PAO1-03hCIP,9:50,12:48,10:00,0,0,0,0
G4,L14,PAO1-03hCIP,9:51,12:48,10:00,3,4,0,2
G4,L15,PAO1-03hCIP,9:51,12:49,10:00,2,4,0,2
G4,L16,PAO1-03hCIP,9:51,12:50,10:00,0,3,0,0
G4,L17,PAO1-03hCIP,9:52,12:50,10:00,3,4,0,2
G4,L18,PAO1-03hCIP,9:52,12:51,10:00,2,3,0,2
G4,L19,PAO1-03hCIP,9:53,12:52,10:00,0,3,0,0
G4,L20,PAO1-03hCIP,9:53,12:52,10:00,3,4,0,2
G5,L1,PAO1-06hCIP,9:32,15:32,9:45,3,4,0,2
G5,L2,PAO1-06hCIP,9:32,15:32,9:45,3,3,0,2
G5,L3,PAO1-06hCIP,9:33,15:33,9:45,0,1,0,0
G5,L4,PAO1-06hCIP,9:33,15:33,9:45,0,1,0,0
G5,L5,PAO1-06hCIP,9:34,15:34,9:45,0,1,0,0
G5,L6,PAO1-06hCIP,9:34,15:34,9:45,3,3,0,2
G5,L7,PAO1-06hCIP,9:35,15:35,9:45,2,3,0,2
G5,L8,PAO1-06hCIP,9:35,15:35,9:45,3,4,0,2
G5,L9,PAO1-06hCIP,9:35,15:35,9:45,3,4,0,2
G5,L10,PAO1-06hCIP,9:36,15:36,9:45,0,0,0,0
G5,L11,PAO1-06hCIP,9:36,15:37,9:45,3,4,0,2
G5,L12,PAO1-06hCIP,9:37,15:38,9:45,2,3,0,2
G5,L13,PAO1-06hCIP,9:37,15:38,9:45,3,4,0,2
G5,L14,PAO1-06hCIP,9:38,15:39,9:45,0,0,0,0
G5,L15,PAO1-06hCIP,9:38,15:40,9:45,0,0,0,0
G5,L16,PAO1-06hCIP,9:38,15:41,9:45,2,4,0,2
G5,L17,PAO1-06hCIP,9:39,15:42,9:45,3,3,0,2
G5,L18,PAO1-06hCIP,9:39,15:42,9:45,2,4,0,2
G5,L19,PAO1-06hCIP,9:40,15:43,9:45,0,2,0,0
G5,L20,PAO1-06hCIP,9:40,15:44,9:45,3,4,0,2
G6,L1,PAO1-09hCIP,9:20,18:21,9:31,3,3,0,2
G6,L2,PAO1-09hCIP,9:20,18:22,9:31,0,1,0,0
G6,L3,PAO1-09hCIP,9:21,18:22,9:31,3,2,0,2
G6,L4,PAO1-09hCIP,9:21,18:22,9:31,0,1,0,0
G6,L5,PAO1-09hCIP,9:22,18:23,9:31,1,1,0,2
G6,L6,PAO1-09hCIP,9:22,18:23,9:31,2,4,0,2
G6,L7,PAO1-09hCIP,9:23,18:24,9:31,0,1,0,0
G6,L8,PAO1-09hCIP,9:24,18:25,9:31,0,1,0,0
G6,L9,PAO1-09hCIP,9:24,18:26,9:31,0,1,0,0
G6,L10,PAO1-09hCIP,9:25,18:26,9:31,0,1,0,0
G6,L11,PAO1-09hCIP,9:25,18:27,9:31,3,4,0,2
G6,L12,PAO1-09hCIP,9:26,18:28,9:31,0,0,0,0
G6,L13,PAO1-09hCIP,9:26,18:29,9:31,1,3,0,2
G6,L14,PAO1-09hCIP,9:27,18:29,9:31,0,2,0,0
G6,L15,PAO1-09hCIP,9:27,18:30,9:31,3,4,0,2
G6,L16,PAO1-09hCIP,9:28,18:30,9:31,3,4,0,2
G6,L17,PAO1-09hCIP,9:28,18:31,9:31,3,4,0,2
G6,L18,PAO1-09hCIP,9:28,18:31,9:31,3,3,0,2
G6,L19,PAO1-09hCIP,9:29,18:31,9:31,0,2,0,0
G6,L20,PAO1-09hCIP,9:29,18:32,9:31,3,4,0,2
G7,L1,PAO1-12hCIP,9:06,21:06,9:18,0,1,0,0
G7,L2,PAO1-12hCIP,9:07,21:06,9:18,0,2,0,0
G7,L3,PAO1-12hCIP,9:08,21:07,9:18,0,0,0,0
G7,L4,PAO1-12hCIP,9:09,21:07,9:18,1,3,0,2
G7,L5,PAO1-12hCIP,9:10,21:07,9:18,0,3,0,0
G7,L6,PAO1-12hCIP,9:10,21:08,9:18,0,0,0,0
G7,L7,PAO1-12hCIP,9:11,21:08,9:18,1,3,0,2
G7,L8,PAO1-12hCIP,9:12,21:09,9:18,3,3,0,2
G7,L9,PAO1-12hCIP,9:12,21:09,9:18,3,4,0,2
G7,L10,PAO1-12hCIP,9:12,21:10,9:18,3,4,0,2
G7,L11,PAO1-12hCIP,9:13,21:10,9:18,0,0,0,0
G7,L12,PAO1-12hCIP,9:14,21:11,9:18,3,4,0,2
G7,L13,PAO1-12hCIP,9:14,21:11,9:18,0,0,0,0
G7,L14,PAO1-12hCIP,9:15,21:11,9:18,1,4,0,2
G7,L15,PAO1-12hCIP,9:15,21:12,9:18,0,0,0,0
G7,L16,PAO1-12hCIP,9:15,21:12,9:18,0,0,0,0
G7,L17,PAO1-12hCIP,9:16,21:13,9:18,0,0,0,0
G7,L18,PAO1-12hCIP,9:16,21:13,9:18,0,0,0,0
G7,L19,PAO1-12hCIP,9:17,21:14,9:18,0,0,0,0
G7,L20,PAO1-12hCIP,9:17,21:14,9:18,0,0,0,0