Sample ,Time ,Larvae,Contamination,Countable,Batch,Buffer_dilution_factor,Dilution ,Volume_ul,rep1,rep2,rep3,rep4
S1,4,L1,no,yes,1,11,10,100,4,5,3,
S1,4,L1,no,yes,2,11,10,100,10,,,
S1,4,L1,no,yes,1,11,10,20,6,3,,
S1,4,L2,yes,no,1,11,,,,,,
S1,4,L3,no,yes,1,11,10,100,4,,,
S1,4,L3,no,yes,2,11,10,100,10,,,
S1,4,L3,no,yes,1,11,10,20,2,6,2,1
S1,4,L4,no,yes,1,11,10,100,5,,,
S1,4,L4,no,yes,2,11,10,100,10,,,
S1,4,L4,no,yes,1,11,10,20,3,2,1,2
S1,4,L5,no,yes,1,11,10,100,6,,,
S1,4,L5,no,yes,2,11,10,100,25,,,
S1,4,L5,no,yes,1,11,10,20,3,4,2,1
S1,4,L6,no,yes,1,11,10,100,5,,,
S1,4,L5,no,yes,2,11,10,100,12,,,
S1,4,L6,no,yes,1,11,10,20,1,,,
S1,4,L7,no,yes,1,11,10,100,1,,,
S1,4,L7,no,yes,2,11,10,100,2,,,
S1,4,L8,no,yes,1,11,10,100,2,,,
S1,4,L8,no,yes,2,11,10,100,4,,,
S1,4,L8,no,yes,1,11,10,20,2,2,2,
S1,4,L9,no,yes,1,11,10,100,2,,,
S1,4,L9,no,yes,1,11,10,20,1,,,
S1,4,L10,no,yes,1,11,10,100,0,,,
S2,8,L1,no,yes,1,3,1,100,115,,,
S2,8,L1,no,yes,1,3,10,100,17,,,
S2,8,L1,no,yes,1,3,10,20,2,20,6,
S2,8,L1,no,yes,2,3,10,50,16,,,
S2,8,L1,no,yes,2,3,100,50,4,,,
S2,8,L1,no,yes,2,3,10,10,2,6,,
S2,8,L2,no,yes,1,3,1,100,273,,,
S2,8,L2,no,yes,1,3,10,20,6,,,
S2,8,L3,yes,yes,2,3,10,50,2,,,
S2,8,L4,no,yes,1,3,100,20,1,3,5,
S2,8,L4,no,yes,2,3,10,50,104,,,
S2,8,L4,no,yes,2,3,100,50,4,,,
S2,8,L4,no,yes,2,3,10,10,5,17,,
S2,8,L5,no,yes,1,3,1,100,378,,,
S2,8,L5,no,yes,1,3,10,20,5,10,5,5
S2,8,L5,no,yes,1,3,100,20,3,,,
S2,8,L5,no,yes,2,3,10,50,51,,,
S2,8,L5,no,yes,2,3,100,50,8,,,
S2,8,L5,no,yes,2,3,10,10,6,9,,
S2,8,L6,no,yes,1,3,1,100,132,,,
S2,8,L6,no,yes,1,3,10,20,6,4,1,
S2,8,L6,no,yes,1,3,100,20,1,,,
S2,8,L6,no,yes,2,3,10,50,45,,,
S2,8,L6,no,yes,2,3,100,50,2,,,
S2,8,L6,no,yes,2,3,10,10,5,4,,
S2,8,L7,yes ,yes,2,3,100,50,7,,,
S2,8,L8,no ,yes,1,3,10,20,3,2,5,
S2,8,L8,no ,yes,2,3,10,50,28,,,
S2,8,L8,no ,yes,2,3,10,10,3,3,,
S2,8,L9,no,yes,1,3,1,100,61,,,
S2,8,L9,no,yes,1,3,10,20,1,1,2,
S2,8,L9,no,yes,2,3,10,50,5,,,
S2,8,L9,no,yes,2,3,10,10,2,2,,
S2,8,L10,no ,yes,1,3,1,100,306,,,
S2,8,L10,no ,yes,1,3,10,20,10,11,,
S2,8,L10,no ,yes,1,3,100,20,1,,,
S2,8,L10,no ,yes,2,3,10,50,51,,,
S2,8,L10,no ,yes,2,3,10,10,9,5,,
S3,12,L1,no ,yes,1,3,10,100,141,,,
S3,12,L1,no ,yes,1,3,100,100,5,,,
S3,12,L1,no ,yes,1,3,10,10,32,28,,
S3,12,L1,no ,yes,1,3,100,10,2,1,,
S3,12,L2,no ,yes,1,3,10,100,85,,,
S3,12,L2,no ,yes,1,3,100,100,6,,,
S3,12,L2,no ,yes,1,3,10,10,28,,,
S3,12,L3,no,yes,1,3,1,100,412,,,
S3,12,L3,no,yes,1,3,10,100,36,,,
S3,12,L3,no,yes,1,3,100,100,7,,,
S3,12,L3,no,yes,1,3,10,10,19,7,,
S3,12,L3,no,yes,1,3,100,10,2,2,,
S3,12,L4,no,yes,1,3,1,100,482,,,
S3,12,L4,no,yes,1,3,10,100,58,,,
S3,12,L4,no,yes,1,3,100,100,6,,,
S3,12,L4,no,yes,1,3,10,10,9,14,,
S3,12,L5,no,yes,1,3,1,100,83,,,
S3,12,L5,no,yes,1,3,10,100,7,,,
S3,12,L5,no,yes,1,3,10,10,2,3,,
S3,12,L6,no,yes,1,3,10,100,97,,,
S3,12,L6,no,yes,1,3,100,100,6,,,
S3,12,L6,no,yes,1,3,10,10,20,12,,
S3,12,L6,no,yes,1,3,100,10,1,,,
S3,12,L7,no,yes,1,3,10,100,78,,,
S3,12,L7,no,yes,1,3,10,100,15,29,,
S3,12,L7,no,yes,1,3,100,10,1,2,,
S3,12,L8,no,yes,1,3,10,100,145,,,
S3,12,L8,no,yes,1,3,100,100,2,,,
S3,12,L8,no,yes,1,3,10,10,28,31,,
S3,12,L9,no,yes,1,3,1,100,408,,,
S3,12,L9,no,yes,1,3,10,100,45,,,
S3,12,L9,no,yes,1,3,10,10,9,10,,
S3,12,L9,no,yes,1,3,100,10,2,1,,
S3,12,L10,no,yes,1,3,1,100,349,,,
S3,12,L10,no,yes,1,3,10,100,57,,,
S3,12,L10,no,yes,1,3,100,100,1,,,
S3,12,L10,no,yes,1,3,10,10,15,8,,
S3,12,L10,no,yes,1,3,100,10,1,2,,
S4,16,L1,no,yes,1,3,10,100,561,,,
S4,16,L1,no,yes,1,3,10,10,91,81,,
S4,16,L1,no,yes,1,3,100,10,12,12,,
S4,16,L1,no,yes,1,3,1000,10,2,,,
S4,16,L2,no,yes,1,3,10,100,335,,,
S4,16,L2,no,yes,1,3,10,100,66,64,,
S4,16,L2,no,yes,1,3,100,10,5,8,,
S4,16,L3,no,yes,1,3,10,100,506,,,
S4,16,L3,no,yes,1,3,10,10,84,80,,
S4,16,L3,no,yes,1,3,100,10,3,5,,
S4,16,L4,no,yes,1,3,100,10,35,34,,
S4,16,L4,no,yes,1,3,1000,10,9,1,,
S4,16,L5,no,yes,1,3,100,10,41,38,,
S4,16,L5,no,yes,1,3,1000,10,2,2,,
S4,16,L6,no,yes,1,3,100,10,32,32,,
S4,16,L6,no,yes,1,3,1000,10,2,,,
S4,16,L7,no,yes,1,3,100,10,39,34,,
S4,16,L7,no,yes,1,3,1000,10,2,2,,
S4,16,L8,no,yes,1,3,100,10,50,46,,
S4,16,L8,no,yes,1,3,1000,10,3,5,,
S4,16,L9,no,yes,1,3,10,100,116,,,
S4,16,L9,no,yes,1,3,100,100,3,,,
S4,16,L9,no,yes,1,3,10,10,13,18,,
S4,16,L9,no,yes,1,3,100,10,3,,,
S4,16,L10,no,yes,1,3,10,100,973,,,
S4,16,L10,no,yes,1,3,10,10,128,164,,
S4,16,L10,no,yes,1,3,100,10,13,,,
S5,20,L1,no,yes,1,3,10,100,73,,,
S5,20,L1,no,yes,1,3,10,10,29,28,,
S5,20,L1,no,yes,1,3,100,10,2,2,,
S5,20,L2,no,yes,1,3,100,10,173,149,,
S5,20,L2,no,yes,1,3,1000,10,11,13,,
S5,20,L3,no,yes,1,3,100,10,177,171,,
S5,20,L3,no,yes,1,3,1000,10,16,14,,
S5,20,L4,no,yes,1,3,100,100,343,,,
S5,20,L4,no,yes,1,3,100,10,87,82,,
S5,20,L4,no,yes,1,3,1000,10,3,3,,
S5,20,L5,no,yes,1,3,100,10,190,176,,
S5,20,L5,no,yes,1,3,1000,10,14,15,,
S5,20,L6,no,yes,1,3,100,100,62,,,
S5,20,L6,no,yes,1,3,10,10,182,171,,
S5,20,L6,no,yes,1,3,100,10,13,20,,
S5,20,L6,no,yes,1,3,1000,10,1,1,,
S5,20,L7,no,yes,1,3,100,10,153,166,,
S5,20,L7,no,yes,1,3,1000,10,17,6,,
S5,20,L8,no,yes,1,3,1000,10,91,102,,
S5,20,L8,no,yes,1,3,10000,10,2,,,
S5,20,L9,no,yes,1,3,100,10,126,113,118,
S5,20,L9,no,yes,1,3,1000,10,11,8,,
S5,20,L10,no,yes,1,3,1000,10,14,27,25,
S6,24,L1,no,yes,1,3,1000,10,43,43,48,
S6,24,L2,no,yes,1,3,10000,10,66,37,,
S6,24,L2,no,yes,2,3,100000,20,3,,,
S6,24,L3,no,yes,2,3,1000,10,65,70,,
S6,24,L3,no,yes,1,3,10000,10,2,1,1,
S6,24,L4,no,yes,1,3,10000,10,16,11,7,
S6,24,L5,no,yes,1,3,10000,10,38,70,57,
S6,24,L5,no,yes,1,3,100000,20,5,9,,
S6,24,L6,no,yes,1,3,10000,10,38,34,33,
S6,24,L6,no,yes,1,3,100000,20,10,12,,
S6,24,L7,no,yes,1,3,10000,10,146,108,97,
S6,24,L7,no,yes,1,3,100000,20,2,3,,
S6,24,L8,no,yes,1,3,1000,10,43,44,46,
S6,24,L8,no,yes,1,3,10000,10,5,,,
S6,24,L9,no,yes,1,3,100,10,120,104,129,
S6,24,L9,no,yes,1,3,1000,10,7,4,7,
S6,24,L10,no,yes,1,6,10000,10,126,98,72,
S6,24,L10,no,yes,1,6,100000,20,55,38,,
S7,28,L1,no,yes,1,3,1000,10,92,91,78,
S7,28,L1,no,yes,1,3,10000,10,4,3,2,
S7,28,L2,no,yes,1,3,10000,10,44,35,34,
S7,28,L3,no,yes,1,3,100000,10,85,46,48,
S7,28,L4,no,yes,1,3,10000,10,12,22,,
S7,28,L6,no,yes,1,3,10000,10,10,7,10,
S7,28,L6,no,yes,1,3,100000,10,4,5,,
S7,28,L6,no,yes,1,3,10000,10,56,,,
S7,28,L9,no,yes,1,3,10000,10,5,3,5,
S7,28,L10,no,yes,1,6,1000,10,5,4,8,
S7,28,L2,no,yes,2,3,10000,10,26,33,,
S7,28,L2,no,yes,2,3,100000,10,4,,,
S7,28,L2,no,yes,2,3,10000,10,91,77,,
S7,28,L2,no,yes,2,3,100000,10,10,13,,
S7,28,L10,no,yes,2,6,100,10,220,,,
S8,32,L1,no,yes,1,3,1000,10,30,28,40,
S8,32,L3,no,yes,1,3,1000,10,104,103,91,
S8,32,L4,no,yes,1,3,10000,10,36,44,44,
S8,32,L4,no,yes,1,3,100000,10,3,6,,
S8,32,L5,no,yes,1,3,10000,10,16,17,19,
S8,32,L6,no ,yes,1,3,1000,10,113,97,114,
S8,32,L7,no,yes,1,3,1000,10,205,216,199,
S8,32,L8,no ,yes,1,3,100,10,19,32,12,
S8,32,L8,no ,yes,1,3,10,10,144,,,
S8,32,L8,no ,yes,1,3,1000,10,2,,,
S8,32,L8,no ,yes,1,3,100,100,33,,,
S8,32,L8,no ,yes,1,3,10,100,393,,,
S8,32,L9,no ,yes,1,3,1000,10,201,333,281,
S8,32,L10,no ,yes,1,3,1000,10,10,16,5,
S8,32,L10,no ,yes,1,3,100,10,171,201,141,
S8,32,L1,no ,yes,2,3,1000,10,51,61,,
S8,32,L1,no ,yes,2,3,10000,10,5,4,2,
S8,32,L2,no,yes,2,3,1000,10,163,179,,
S8,32,L2,no,yes,2,3,10000,10,16,,,
S8,32,L3,no ,yes,2,3,1000,10,139,156,,
S8,32,L3,no ,yes,2,3,10000,10,16,10,2,
S8,32,L6,no ,yes,2,3,1000,10,105,125,,
S8,32,L6,no ,yes,2,3,10000,10,8,5,5,
S8,32,L7,no ,yes,2,3,10000,10,205,216,199,
S8,32,L9,no ,yes,2,3,10000,10,20,25,31,
S9,36,L1,no,yes,1,3,100,10,134,133,190,
S9,36,L1,no,yes,1,3,1000,10,14,11,11,
S9,36,L2,no,yes,1,3,1000,10,232,243,209,
S9,36,L2,no,yes,1,3,10000,10,11,8,13,
S9,36,L3,no,yes,1,3,1000,10,199,252,212,
S9,36,L3,yes,yes,1,3,10000,10,16,13,14,
S9,36,L4,no,yes,1,3,10000,10,18,18,28,
S9,36,L4,no,yes,1,3,100000,10,1,3,6,
S9,36,L5,no,yes,1,3,100,10,74,62,77,
S9,36,L5,no,yes,1,3,1000,10,2,2,4,
S9,36,L6,no,yes,1,3,1000,10,112,77,85,
S9,36,L7,no,yes,1,3,1000,10,49,50,51,
S9,36,L8,no,yes,1,3,1000,10,237,263,253,
S9,36,L9,no,yes,1,3,100000,10,39,40,59,
S9,36,L10,no,yes,1,3,1000,10,42,35,46,
S9,36,L10,no,yes,1,3,10000,10,4,1,1,
S9,36,L1,no,yes,2,3,1000,10,14,9,,
S9,36,L1,no,yes,2,3,100,10,135,,,
S9,36,L5,no,yes,2,3,100,10,49,,,
S9,36,L5,no,yes,2,3,1000,10,2,1,,
S9,36,L6,no,yes,2,3,1000,10,27,28,,
S9,36,L6,no,yes,2,3,10000,10,1,2,,
S9,36,L7,no,yes,2,3,1000,10,48,35,,
S9,36,L7,no,yes,2,3,10000,10,2,5,3,
S9,36,L8,no,yes,2,3,1000,10,175,,,
S9,36,L8,no,yes,2,3,10000,10,13,7,12,
S9,36,L8,no,yes,2,3,100000,10,1,,,
S9,36,L9,no,yes,2,3,100000,10,29,28,,
S9,36,L10,no,yes,2,3,1000,10,26,59,,
S9,36,L10,no,yes,2,3,10000,10,4,5,,
S10,48,L1,no,yes,1,3,100,10,58,46,47,
S10,48,L1,no,yes,1,3,1000,10,5,1,3,
S10,48,L2,no,yes,1,3,1000,10,48,38,40,
S10,48,L2,no,yes,2,3,1000,10,32,,,
S10,48,L2,no,yes,2,3,10000,10,2,,,
S10,48,L3,no,yes,1,3,100,10,23,35,59,
S10,48,L3,no,yes,1,3,1000,10,2,,,
S10,48,L3,no,yes,2,3,1000,10,1,,,
S10,48,L4,no,yes,1,3,100,10,100,81,72,
S10,48,L4,no,yes,1,3,1000,10,4,2,2,
S10,48,L4,no,yes,2,3,100,10,112,,,
S10,48,L4,no,yes,2,3,1000,10,6,,,
S10,48,L5,no,yes,1,3,10000,10,7,9,9,
S10,48,L5,no,yes,2,3,10000,10,89,,,
S10,48,L5,no,yes,2,3,1000,10,8,,,
S10,48,L6,no,yes,2,3,10,10,52,48,61,
S10,48,L6,no,yes,2,3,100,10,4,2,1,
S10,48,L7,no,yes,1,3,1000,10,44,64,64,
S10,48,L7,no,yes,2,3,10000,10,3,1,,
S10,48,L8,no,yes,1,3,10,10,31,51,54,
S10,48,L8,no,yes,1,3,100,10,5,5,6,
S10,48,L9,no,yes,1,3,10000,10,2,3,3,
S10,48,L9,no,yes,2,3,10000,10,23,19,,
S10,48,L10,no,yes,1,3,10000,10,22,29,4,
S10,48,L10,no,yes,1,3,100000,10,2,2,,
S10,48,L10,no,yes,2,3,10000,10,18,11,74,62